RunNumber, RunDir, input.ChoiceFile, Recovered-results , HDDs              , Energy-Total-GJ   , Ref-En-Total-GJ   , Util-Bill-gross   , Util-PV-revenue   , Util-Bill-Net     , Util-Bill-Elec    , Util-Bill-Gas     , Util-Bill-Prop    , Util-Bill-Oil     , Util-Bill-Wood    , Energy-PV-kWh     , Gross-HeatLoss-GJ , Energy-HeatingGJ  , AuxEnergyReq-HeatingGJ , TotalAirConditioning-LoadGJ , AvgAirConditioning-COP , Energy-CoolingGJ  , Energy-VentGJ     , Energy-DHWGJ      , Energy-PlugGJ     , EnergyEleckWh     , EnergyGasM3       , EnergyOil_l       , EnergyProp_L      , EnergyWood_cord   , Upgrade-cost      , SimplePaybackYrs  , PEAK-Heating-W    , PEAK-Cooling-W    , PV-size-kW        , Floor-Area-m2     , House-Volume-m3   , TEDI_kWh_m2       , MEUI_kWh_m2       , ERS-Value         , NumTries          , LapsedTime        , Win-SHGC-S        , Win-R-value-S     , Win-Area-m2-S     , Win-SHGC-SE       , Win-R-value-SE    , Win-Area-m2-SE    , Win-SHGC-E        , Win-R-value-E     , Win-Area-m2-E     , Win-SHGC-NE       , Win-R-value-NE    , Win-Area-m2-NE    , Win-SHGC-N        , Win-R-value-N     , Win-Area-m2-N     , Win-SHGC-NW       , Win-R-value-NW    , Win-Area-m2-NW    , Win-SHGC-W        , Win-R-value-W     , Win-Area-m2-W     , Win-SHGC-SW       , Win-R-value-SW    , Win-Area-m2-SW    , input.Opt-Location , input.Opt-Archetype , input.Opt-Ruleset , input.Opt-FuelCost , input.Opt-ACH , input.Opt-MainWall , input.Opt-GenericWall_1Layer_definitions , input.Opt-Ceilings , input.Opt-AtticCeilings , input.Opt-CathCeilings , input.Opt-FlatCeilings , input.Opt-H2KFoundation , input.Opt-ExposedFloor , input.Opt-CasementWindows , input.Opt-H2K-PV , input.Opt-Skylights , input.Opt-Doors , input.Opt-DoorWindows , input.Opt-RoofPitch , input.Opt-DHWSystem , input.Opt-DWHRSystem , input.Opt-HVACSystem , input.Opt-HRVspec , input.Opt-StandoffPV , input.GOconfig_rotate , input.Opt-DBFiles , input.Opt-ResultHouseCode , input.Opt-H2KFoundationSlabCrawl , input.Opt-HRVduct , input.Opt-DHWLoadScale , 
 54, HTAP-work-2, ./gen-choice-files/sim-54.choices,   General,   4500,   38.8 ,   0.0 ,   0.0   ,   0.0    ,   0.0 ,   0.0  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   31 ,   8.9 ,  8.9 ,  0.0 ,  0.0 ,   0.0 ,   0.3 ,   7.6 ,   21.9 ,   10770.8 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   0.0 ,   3587.2,   5428.1,   0.0,   178.3 ,   458.9 ,   13.9 ,   26.2 ,   0.0,   1.0,   2.12,   0.0,   0.0,   0.0,   0.356,   0.971,   11.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.293,   0.982,   5.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  NA,  R2000-NZE-Pilot-Minto-attached-27C.h2k,  R2000_NZE_Pilot_Env,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  R2000_test,  NA,  NA,  NA,  NA,  R2000-HotWater-elec,  NA,  R2000-elec-baseboard,  R2000_HRV,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 55, HTAP-work-0, ./gen-choice-files/sim-55.choices,   General,   4500,   30.2 ,   0.0 ,   0.0   ,   0.0    ,   0.0 ,   0.0  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   28 ,   3.7 ,  7.6 ,  2.2 ,  1.3 ,   1.6 ,   0.3 ,   2.5 ,   21.9 ,   8385.2 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   0.0 ,   3475.0,   5428.1,   0.0,   178.3 ,   458.9 ,   11.8 ,   12.7 ,   0.0,   1.0,   2.18,   0.0,   0.0,   0.0,   0.356,   0.971,   11.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.293,   0.982,   5.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  NA,  R2000-NZE-Pilot-Minto-attached-27C.h2k,  R2000_NZE_Pilot_Mech,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  R2000_test,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 56, HTAP-work-1, ./gen-choice-files/sim-56.choices,   General,   4500,   0.0 ,   0.0 ,   0.0   ,   167.59    ,   -167.59 ,   0.0  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   10027 ,   28 ,   3.6 ,  7.4 ,  2.2 ,  1.3 ,   1.6 ,   0.3 ,   2.5 ,   21.9 ,   0.0 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   -167.6 ,   3475.0,   5428.1,   14.0,   178.3 ,   458.9 ,   11.6 ,   12.5 ,   0.0,   1.0,   2.3,   0.0,   0.0,   0.0,   0.356,   0.971,   11.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.293,   0.982,   5.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,  NA,  R2000-NZE-Pilot-Minto-attached-27C.h2k,  as-found,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 57, HTAP-work-2, ./gen-choice-files/sim-57.choices,   General,   4500,   71.1 ,   0.0 ,   0.0   ,   0.0    ,   0.0 ,   0.0  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   75 ,   42.6 ,  42.7 ,  0.0 ,  0.0 ,   0.0 ,   0.3 ,   7.6 ,   20.6 ,   19754.9 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   0.0 ,   8733.3,   8396.7,   0.0,   225.8 ,   533.8 ,   52.6 ,   62.1 ,   0.0,   1.0,   2.54,   0.0,   0.0,   0.0,   0.264,   0.631,   9.3,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.258,   0.623,   5.8,   0.0,   0.0,   0.0,   0.26,   0.625,   12.1,  NA,  R2000-NZE-Pilot-Minto-attached-27D.h2k,  R2000_NZE_Pilot_Base,  rates2016,  ACH_2_5,  NA,  NBC_Wall_zone6_HRV,  NA,  NBC_Ceiling_zone6,  NBC_FlatCeiling_zone6,  NBC_FlatCeiling_zone6,  NBC_BCIN_zone6_HRV,  NBC_exposed_zone6,  NBC-zone6-window,  R2000_test,  NA,  NBC-zone6-door,  NBC-zone6-window,  NA,  R2000-HotWater-elec,  NA,  R2000-elec-baseboard,  R2000_HRV,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 58, HTAP-work-0, ./gen-choice-files/sim-58.choices,   General,   4500,   47.2 ,   0.0 ,   0.0   ,   0.0    ,   0.0 ,   0.0  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   49 ,   18.7 ,  18.8 ,  0.0 ,  0.0 ,   0.0 ,   0.3 ,   7.6 ,   20.6 ,   13116.1 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   0.0 ,   5858.0,   8591.8,   0.0,   225.8 ,   533.8 ,   23.1 ,   32.7 ,   0.0,   1.0,   2.64,   0.0,   0.0,   0.0,   0.375,   0.795,   9.3,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.335,   1.05,   5.8,   0.0,   0.0,   0.0,   0.391,   0.789,   12.1,  NA,  R2000-NZE-Pilot-Minto-attached-27D.h2k,  R2000_NZE_Pilot_Env,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  R2000_test,  NA,  NA,  NA,  NA,  R2000-HotWater-elec,  NA,  R2000-elec-baseboard,  R2000_HRV,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 59, HTAP-work-1, ./gen-choice-files/sim-59.choices,   General,   4500,   32.9 ,   0.0 ,   0.0   ,   0.0    ,   0.0 ,   0.0  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   46 ,   7.8 ,  17.7 ,  2.9 ,  1.7 ,   1.7 ,   0.3 ,   2.5 ,   20.6 ,   9145.6 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   0.0 ,   5729.6,   8591.8,   0.0,   225.8 ,   533.8 ,   21.7 ,   15.1 ,   0.0,   1.0,   2.63,   0.0,   0.0,   0.0,   0.375,   0.795,   9.3,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.335,   1.05,   5.8,   0.0,   0.0,   0.0,   0.391,   0.789,   12.1,  NA,  R2000-NZE-Pilot-Minto-attached-27D.h2k,  R2000_NZE_Pilot_Mech,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  R2000_test,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 60, HTAP-work-2, ./gen-choice-files/sim-60.choices,   General,   4500,   0.0 ,   0.0 ,   0.0   ,   226.0    ,   -226.0 ,   0.0  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   11382 ,   46 ,   7.7 ,  17.4 ,  2.9 ,  1.7 ,   1.7 ,   0.3 ,   2.5 ,   20.6 ,   0.0 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   -226.0 ,   5729.6,   8591.8,   15.9,   225.8 ,   533.8 ,   21.4 ,   14.9 ,   0.0,   1.0,   2.73,   0.0,   0.0,   0.0,   0.375,   0.795,   9.3,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.335,   1.05,   5.8,   0.0,   0.0,   0.0,   0.391,   0.789,   12.1,  NA,  R2000-NZE-Pilot-Minto-attached-27D.h2k,  as-found,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 61, HTAP-work-0, ./gen-choice-files/sim-61.choices,   General,   4500,   118.3 ,   0.0 ,   0.0   ,   0.0    ,   0.0 ,   0.0  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   119 ,   89.0 ,  89.3 ,  0.0 ,  0.0 ,   0.0 ,   0.6 ,   7.9 ,   20.9 ,   32873.4 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   0.0 ,   14879.0,   7792.8,   0.0,   277.4 ,   866.8 ,   89.4 ,   97.6 ,   0.0,   1.0,   2.36,   0.0,   0.0,   0.0,   0.264,   0.631,   5.6,   0.0,   0.0,   0.0,   0.264,   0.631,   13.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.257,   0.62,   10.3,  NA,  R2000-NZE-Pilot-Minto-detached_FinalDesign.h2k,  R2000_NZE_Pilot_Base,  rates2016,  ACH_2_5,  NA,  NBC_Wall_zone6_HRV,  NA,  NBC_Ceiling_zone6,  NBC_FlatCeiling_zone6,  NBC_FlatCeiling_zone6,  NBC_BCIN_zone6_HRV,  NBC_exposed_zone6,  NBC-zone6-window,  R2000_test,  NA,  NBC-zone6-door,  NBC-zone6-window,  NA,  R2000-HotWater-elec,  NA,  R2000-elec-baseboard,  R2000_HRV,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 62, HTAP-work-1, ./gen-choice-files/sim-62.choices,   General,   4500,   71.2 ,   0.0 ,   0.0   ,   0.0    ,   0.0 ,   0.0  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   72 ,   41.8 ,  42.0 ,  0.0 ,  0.0 ,   0.0 ,   0.6 ,   7.9 ,   20.9 ,   19764.6 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   0.0 ,   8800.9,   7645.7,   0.0,   277.4 ,   866.8 ,   42.0 ,   50.3 ,   0.0,   1.0,   2.47,   0.0,   0.0,   0.0,   0.374,   1.103,   5.6,   0.0,   0.0,   0.0,   0.332,   0.99,   13.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.311,   1.036,   10.3,  NA,  R2000-NZE-Pilot-Minto-detached_FinalDesign.h2k,  R2000_NZE_Pilot_Env,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  R2000_test,  NA,  NA,  NA,  NA,  R2000-HotWater-elec,  NA,  R2000-elec-baseboard,  R2000_HRV,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 63, HTAP-work-2, ./gen-choice-files/sim-63.choices,   General,   4500,   43.3 ,   0.0 ,   0.0   ,   0.0    ,   0.0 ,   0.0  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   70 ,   16.2 ,  42.4 ,  3.5 ,  1.6 ,   1.9 ,   1.7 ,   2.3 ,   20.9 ,   12025.8 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   0.0 ,   8632.3,   7645.7,   0.0,   277.4 ,   866.8 ,   42.5 ,   22.2 ,   0.0,   1.0,   2.45,   0.0,   0.0,   0.0,   0.374,   1.103,   5.6,   0.0,   0.0,   0.0,   0.332,   0.99,   13.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.311,   1.036,   10.3,  NA,  R2000-NZE-Pilot-Minto-detached_FinalDesign.h2k,  R2000_NZE_Pilot_Mech,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  R2000_test,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 64, HTAP-work-0, ./gen-choice-files/sim-64.choices,   General,   4500,   0.0 ,   0.0 ,   0.0   ,   160.65    ,   -160.65 ,   0.0  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   13597 ,   70 ,   16.1 ,  42.0 ,  3.5 ,  1.7 ,   1.9 ,   1.7 ,   2.3 ,   20.9 ,   0.0 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   -160.6 ,   8632.3,   7645.7,   19.0,   277.4 ,   866.8 ,   42.1 ,   22.1 ,   0.0,   1.0,   2.47,   0.0,   0.0,   0.0,   0.374,   1.103,   5.6,   0.0,   0.0,   0.0,   0.332,   0.99,   13.2,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.311,   1.036,   10.3,  NA,  R2000-NZE-Pilot-Minto-detached_FinalDesign.h2k,  as-found,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 65, HTAP-work-1, ./gen-choice-files/sim-65.choices,   General,   3890,   89.5 ,   0.0 ,   1953.79   ,   0.0    ,   1953.79 ,   1953.79  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   90 ,   59.0 ,  59.1 ,  0.0 ,  0.0 ,   0.0 ,   0.3 ,   7.3 ,   23.0 ,   24853.0 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   1953.8 ,   11054.8,   5537.2,   0.0,   327.2 ,   897.6 ,   50.2 ,   56.4 ,   0.0,   1.0,   1.88,   0.26,   0.556,   9.9,   0.0,   0.0,   0.0,   0.254,   0.54,   1.4,   0.0,   0.0,   0.0,   0.258,   0.547,   10.6,   0.0,   0.0,   0.0,   0.256,   0.543,   2.8,   0.0,   0.0,   0.0,  NA,  R2000-NZE-Pilot-Sloot.h2k,  R2000_NZE_Pilot_Base,  rates2016,  ACH_2_5,  NA,  NBC_Wall_zone5_HRV,  NA,  NBC_Ceiling_zone5_HRV,  NBC_FlatCeiling_zone5,  NBC_FlatCeiling_zone5,  NBC_BCIN_zone5_HRV,  NBC_exposed_zone5,  NBC-zone5-window,  R2000_test,  NA,  NBC-zone5-door,  NBC-zone5-window,  NA,  R2000-HotWater-elec,  NA,  R2000-elec-baseboard,  R2000_HRV,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 66, HTAP-work-2, ./gen-choice-files/sim-66.choices,   General,   3890,   54.8 ,   0.0 ,   1278.19   ,   0.0    ,   1278.19 ,   1278.19  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   50 ,   24.4 ,  24.4 ,  0.0 ,  0.0 ,   0.0 ,   0.3 ,   7.2 ,   23.0 ,   15229.2 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   1278.2 ,   6024.2,   5412.2,   0.0,   327.2 ,   897.6 ,   20.7 ,   27.0 ,   0.0,   1.0,   1.97,   0.229,   0.977,   9.9,   0.0,   0.0,   0.0,   0.203,   0.927,   1.4,   0.0,   0.0,   0.0,   0.222,   0.948,   10.6,   0.0,   0.0,   0.0,   0.208,   0.936,   2.8,   0.0,   0.0,   0.0,  NA,  R2000-NZE-Pilot-Sloot.h2k,  R2000_NZE_Pilot_Env,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  R2000_test,  NA,  NA,  NA,  NA,  R2000-HotWater-elec,  NA,  R2000-elec-baseboard,  R2000_HRV,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 67, HTAP-work-0, ./gen-choice-files/sim-67.choices,   General,   3890,   38.4 ,   0.0 ,   979.39   ,   0.0    ,   979.39 ,   848.85  ,   130.54  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   48 ,   9.0 ,  23.5 ,  2.2 ,  1.5 ,   1.3 ,   0.3 ,   4.7 ,   23.0 ,   9113.2 ,   151.3  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   979.4 ,   5960.0,   5412.2,   0.0,   327.2 ,   897.6 ,   20.0 ,   13.0 ,   0.0,   1.0,   2.11,   0.229,   0.977,   9.9,   0.0,   0.0,   0.0,   0.203,   0.927,   1.4,   0.0,   0.0,   0.0,   0.222,   0.948,   10.6,   0.0,   0.0,   0.0,   0.208,   0.936,   2.8,   0.0,   0.0,   0.0,  NA,  R2000-NZE-Pilot-Sloot.h2k,  R2000_NZE_Pilot_Mech,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  R2000_test,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 68, HTAP-work-1, ./gen-choice-files/sim-68.choices,   General,   3890,   5.6 ,   0.0 ,   250.54   ,   305.64    ,   -55.099999999999994 ,   120.0  ,   130.54  ,   0.0 ,   0.0 ,   0.0 ,   12173 ,   48 ,   9.0 ,  23.5 ,  2.2 ,  1.5 ,   1.3 ,   0.3 ,   4.7 ,   23.0 ,   0.0 ,   151.3  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   -55.1 ,   5960.0,   5412.2,   16.7,   327.2 ,   897.6 ,   20.0 ,   13.0 ,   0.0,   1.0,   2.04,   0.229,   0.977,   9.9,   0.0,   0.0,   0.0,   0.203,   0.927,   1.4,   0.0,   0.0,   0.0,   0.222,   0.948,   10.6,   0.0,   0.0,   0.0,   0.208,   0.936,   2.8,   0.0,   0.0,   0.0,  NA,  R2000-NZE-Pilot-Sloot.h2k,  as-found,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 69, HTAP-work-2, ./gen-choice-files/sim-69.choices,   General,   4500,   43.5 ,   0.0 ,   1805.65   ,   0.0    ,   1805.65 ,   1805.65  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   37 ,   19.1 ,  19.2 ,  0.0 ,  0.0 ,   0.0 ,   0.3 ,   10.0 ,   14.1 ,   12077.9 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   1805.7 ,   3534.2,   3039.7,   0.0,   64.6 ,   166.9 ,   82.4 ,   126.5 ,   0.0,   1.0,   1.47,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.258,   0.622,   3.8,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.275,   0.647,   3.8,  NA,  R2000-NZE-Pilot-Voyer-L1-Left_FinalDesign.h2k,  R2000_NZE_Pilot_Base,  rates2016,  ACH_2_5,  NA,  NBC_Wall_zone6_HRV,  NA,  NBC_Ceiling_zone6,  NBC_FlatCeiling_zone6,  NBC_FlatCeiling_zone6,  NBC_BCIN_zone6_HRV,  NBC_exposed_zone6,  NBC-zone6-window,  R2000_test,  NA,  NBC-zone6-door,  NBC-zone6-window,  NA,  R2000-HotWater-elec,  NA,  R2000-elec-baseboard,  R2000_HRV,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 70, HTAP-work-0, ./gen-choice-files/sim-70.choices,   General,   4500,   34.7 ,   0.0 ,   1439.93   ,   0.0    ,   1439.93 ,   1439.93  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   27 ,   10.3 ,  10.3 ,  0.0 ,  0.0 ,   0.0 ,   0.3 ,   10.0 ,   14.1 ,   9631.6 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   1439.9 ,   2600.7,   3008.1,   0.0,   64.6 ,   166.9 ,   44.5 ,   88.6 ,   0.0,   1.0,   1.75,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.331,   1.117,   3.8,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.396,   0.913,   3.8,  NA,  R2000-NZE-Pilot-Voyer-L1-Left_FinalDesign.h2k,  R2000_NZE_Pilot_Env,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  R2000_test,  NA,  NA,  NA,  NA,  R2000-HotWater-elec,  NA,  R2000-elec-baseboard,  R2000_HRV,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 71, HTAP-work-1, ./gen-choice-files/sim-71.choices,   General,   4500,   23.3 ,   0.0 ,   968.62   ,   0.0    ,   968.62 ,   968.62  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   0 ,   23 ,   4.2 ,  9.1 ,  1.6 ,  1.3 ,   1.1 ,   0.3 ,   3.6 ,   14.1 ,   6479.1 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   968.6 ,   2474.4,   3008.1,   0.0,   64.6 ,   166.9 ,   39.3 ,   39.4 ,   0.0,   1.0,   1.54,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.331,   1.117,   3.8,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.396,   0.913,   3.8,  NA,  R2000-NZE-Pilot-Voyer-L1-Left_FinalDesign.h2k,  R2000_NZE_Pilot_Mech,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  R2000_test,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
 72, HTAP-work-2, ./gen-choice-files/sim-72.choices,   General,   4500,   0.0 ,   0.0 ,   0.0   ,   56.97    ,   -56.97 ,   0.0  ,   0.0  ,   0.0 ,   0.0 ,   0.0 ,   7031 ,   23 ,   4.0 ,  8.7 ,  1.9 ,  1.5 ,   1.2 ,   0.3 ,   3.6 ,   14.1 ,   0.0 ,   0.0  ,   0.0    ,   0.0    ,   0.0    ,   0.0,   -57.0 ,   2474.4,   3008.1,   10.0,   64.6 ,   166.9 ,   37.4 ,   39.0 ,   0.0,   1.0,   1.54,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.331,   1.117,   3.8,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.396,   0.913,   3.8,  NA,  R2000-NZE-Pilot-Voyer-L1-Left_FinalDesign.h2k,  as-found,  rates2016,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NA,  NoPV,  S,  H2KCodeLibFile,  General,  NA,  interlock,  No-Reduction, 
